dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,registered,temp_actual,hum_actual,windspeed_actual,registered_daily,time_cluster
2011-01-01,Spring,0,1,0,0,6,0,Clear,0.24,0.81,0.0,13,9.84,81.0,0.0,654,
2011-01-01,Spring,0,1,1,0,6,0,Clear,0.22,0.8,0.0,32,9.02,80.0,0.0,654,Night
2011-01-01,Spring,0,1,2,0,6,0,Clear,0.22,0.8,0.0,27,9.02,80.0,0.0,654,Night
2011-01-01,Spring,0,1,3,0,6,0,Clear,0.24,0.75,0.0,10,9.84,75.0,0.0,654,Night
2011-01-01,Spring,0,1,4,0,6,0,Clear,0.24,0.75,0.0,1,9.84,75.0,0.0,654,Night
2011-01-01,Spring,0,1,5,0,6,0,Mist/Cloudy,0.24,0.75,0.0896,1,9.84,75.0,6.0032,654,Night
2011-01-01,Spring,0,1,6,0,6,0,Clear,0.22,0.8,0.0,0,9.02,80.0,0.0,654,Night
2011-01-01,Spring,0,1,7,0,6,0,Clear,0.2,0.86,0.0,2,8.200000000000001,86.0,0.0,654,Morning Rush
2011-01-01,Spring,0,1,8,0,6,0,Clear,0.24,0.75,0.0,7,9.84,75.0,0.0,654,Morning Rush
2011-01-01,Spring,0,1,9,0,6,0,Clear,0.32,0.76,0.0,6,13.120000000000001,76.0,0.0,654,Morning Rush
2011-01-01,Spring,0,1,10,0,6,0,Clear,0.38,0.76,0.2537,24,15.58,76.0,16.997899999999998,654,Work Hours
2011-01-01,Spring,0,1,11,0,6,0,Clear,0.36,0.81,0.2836,30,14.76,81.0,19.0012,654,Work Hours
2011-01-01,Spring,0,1,12,0,6,0,Clear,0.42,0.77,0.2836,55,17.22,77.0,19.0012,654,Work Hours
2011-01-01,Spring,0,1,13,0,6,0,Mist/Cloudy,0.46,0.72,0.2985,47,18.86,72.0,19.999499999999998,654,Work Hours
2011-01-01,Spring,0,1,14,0,6,0,Mist/Cloudy,0.46,0.72,0.2836,71,18.86,72.0,19.0012,654,Work Hours
2011-01-01,Spring,0,1,15,0,6,0,Mist/Cloudy,0.44,0.77,0.2985,70,18.04,77.0,19.999499999999998,654,Work Hours
2011-01-01,Spring,0,1,16,0,6,0,Mist/Cloudy,0.42,0.82,0.2985,52,17.22,82.0,19.999499999999998,654,Work Hours
