weather_label,total,avg_per_jam,max_registered,min_registered,kategori,jenis_hari,avg_registered,mnth,rata_harian,hari_kerja,hari_hujan,bulan,persentase_pertumbuhan
Clear,1875428,164.3238412336809,886.0,0.0,cuaca,,,,,,,,
Mist/Cloudy,661471,145.57020246478874,822.0,0.0,cuaca,,,,,,,,
Light Rain/Snow,135548,95.52360817477096,791.0,0.0,cuaca,,,,,,,,
Heavy Rain/Snow,215,71.66666666666667,158.0,22.0,cuaca,,,,,,,,
,1989125,,886.0,0.0,hari,Hari Kerja,167.6464391066161,,,,,,
,56076,,601.0,0.0,hari,Hari Libur,112.152,,,,,,
,627461,,526.0,0.0,hari,Weekend,125.14180295173514,,,,,,
,134933,,,,bulan,,,1.0,94.42477256822951,907.0,111.0,Jan,
,151352,,,,bulan,,,2.0,112.86502609992544,913.0,137.0,Feb,12.168261285230454
,228920,,,,bulan,,,3.0,155.41072640868975,1069.0,129.0,Mar,51.25006607114542
,269094,,,,bulan,,,4.0,187.2609603340292,957.0,142.0,Apr,17.54936222261052
,331686,,,,bulan,,,5.0,222.90725806451613,1032.0,143.0,Mei,23.26027336172489
,346342,,,,bulan,,,6.0,240.51527777777775,1032.0,72.0,Jun,4.418636903577489
,344948,,,,bulan,,,7.0,231.81989247311827,984.0,62.0,Jul,-0.4024923341668041
,351194,,,,bulan,,,8.0,238.09762711864408,1104.0,87.0,Ags,1.8107077008708616
,345991,,,,bulan,,,9.0,240.7731384829506,957.0,144.0,Sep,-1.481517337995519
,322352,,,,bulan,,,10.0,222.158511371468,971.0,164.0,Okt,-6.832258642565847
,254831,,,,bulan,,,11.0,177.33542101600557,957.0,101.0,Nov,-20.946356777684027
,211036,,,,bulan,,,12.0,142.30343897505057,982.0,130.0,Des,-17.185899674686354
